Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
18.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
18.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
18.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
19,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
19.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
19.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
19.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
19.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
20,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
20.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
20.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
20.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
20.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
21,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
21.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
21.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
21.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
21.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
22,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
22.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
22.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
22.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
22.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
23,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
23.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
23.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
23.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
23.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
24,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
24.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
24.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
24.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
24.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
25,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
25.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
25.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
25.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
25.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
26,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
26.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
26.4,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
26.6,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
26.8,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
27,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
27.2,0,84.19,0,5,2,0.05,750,20,A,5,2,0.05,750,20,A
27.4,0,86.155,0,5,2,0.05,750,30,A,5,2,0.05,750,30,A
27.6,0,86.155,0,4.5,0.9,0.055,750,30,A,5,2,0.05,750,30,A
27.8,0,86.155,0,5,0,1,750,30,A,5,2,0.05,750,30,A
28,0,86.155,0,5,2,0.05,750,30,A,5,2,0.05,750,30,A
28.2,0,86.155,0,5,2,0.05,750,30,A,5,2,0.05,750,30,A
