Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
10.7,0,374.1227727,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
10.8,0,374.1221512,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
10.9,0,374.1212447,0,5.832,0.075,0.06655,1000,30,A,5.832,0.075,0.06655,1000,30,A
11,0,374.1175152,0,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
11.1,0,374.1159872,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
11.2,0,374.1115844,0,4,1,1,1000,30,A,6.48,0.35,0.0605,1000,30,A
11.3,0,374.1104707,0,4,1,1,1000,30,A,6.48,0.35,0.0605,1000,30,A
11.4,0,374.1084765,0,4,1,1,1000,30,A,7.2,0.9,0.055,1000,30,A
11.5,0,374.1074665,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
11.6,0,373.403638,0,4,1,1,2000,30,A,8,2,0.05,1000,30,A
11.7,0,373.4014625,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
11.8,0,373.3980697,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
11.9,0,373.3961791,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
12,0,373.3947547,0,5.832,0.075,0.06655,1000,30,A,8,2,0.05,1000,30,A
12.1,0,373.3924497,0,5.832,0.075,0.06655,1000,30,A,8,2,0.05,1000,30,A
12.2,0,373.3910252,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
12.3,0,373.3877361,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
12.4,0,373.3844728,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
12.5,0,373.3814686,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
12.6,0,373.3798628,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
12.7,0,373.3778168,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
12.8,0,373.3752269,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
12.9,0,373.3745017,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
13,0,373.371368,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
13.1,0,373.370332,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
13.2,0,373.3659551,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
13.3,0,373.3632875,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
13.4,0,373.362407,0,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
13.5,0,373.3581336,0,7.2,0.9,0.055,1000,30,A,5.832,0.075,0.06655,1000,30,A
13.6,0,373.3554143,0,7.2,0.9,0.055,1000,30,A,5.832,0.075,0.06655,1000,30,A
13.7,0,373.1543352,0,5.832,0.075,0.06655,1000,30,A,6.48,0.35,0.0605,1000,30,A
13.8,0,373.1539208,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
13.9,0,373.1521597,2.289607494,6.48,0.35,0.0605,1000,30,A,5.832,0.075,0.06655,1000,30,A
14,0,373.1493885,6.643528927,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
14.1,0,373.1471353,0.073692033,6.48,0.35,0.0605,1000,30,A,6.48,0.35,0.0605,1000,30,A
14.2,0,373.1459699,-1.342094309,5.832,0.075,0.06655,1000,30,A,5.832,0.075,0.06655,1000,30,A
14.3,0,373.1425771,-2.859205834,6.48,0.35,0.0605,1000,30,A,5.832,0.075,0.06655,1000,30,A
