Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
2.5,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.6,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.7,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.8000000000000003,1,335.635,0.0,2.0,0.5,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
2.9000000000000004,1,335.635,0.0,1.0,0.2,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
3.0,1,335.635,0.0,1.0,0.2,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
3.1,1,335.635,0.0,2.0,0.5,1.0,1000.0,30.0,A,3.0,1.0,1.0,1000.0,30.0,A
3.2,1,335.635,0.0,1.0,0.2,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
3.3000000000000003,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,1000.0,30.0,A
3.4000000000000004,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
3.5,1,335.635,0.0,4.72392,0.0,0.0805255,1000.0,30.0,A,3.24,0.1,1.21,2000.0,30.0,A
3.6,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
3.7,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
3.8000000000000003,1,335.635,0.0,4.0,1.0,1.0,1000.0,30.0,A,3.6,0.4,1.1,2000.0,30.0,A
3.9000000000000004,1,335.635,0.0,3.6,0.4,1.1,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
4.0,1,335.635,0.0,4.72392,0.0,0.0805255,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
4.1000000000000005,1,335.635,0.0,4.72392,0.0,0.0805255,1000.0,30.0,A,5.16560652,0.0,0.107179441,2000.0,30.0,A
4.2,1,335.635,0.0,4.251528,0.0,0.08857805,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
4.3,1,335.635,0.0,4.5,0.4,1.1,2000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
4.4,1,335.635,0.0,5.0,1.0,1.0,1000.0,30.0,A,4.0,1.0,1.0,2000.0,30.0,A
4.5,1,335.635,0.0,3.0,1.0,1.0,1000.0,30.0,A,4.184141281,0.0,0.129687123,2000.0,30.0,A
